aootype,aookey,aooname,expend,charity_count,subsidiary_count,income
D,189.0,SOUTH AFRICA,1841720065.0410955,483,844,1867549875.331507
D,190.0,SOUTH KOREA,1055893355.2684933,117,424,1052283526.9369863
D,191.0,SPAIN,1232045069.0328765,261,585,1234138115.4054794
D,192.0,SRI LANKA,1706857495.9753423,284,784,1726186116.4082196
D,193.0,SUDAN,1619156129.6520545,199,221,1637521431.8356166
D,194.0,SURINAM,17420349.849315066,75,84,19196196.90684932
D,195.0,SWAZILAND,179122887.40547946,111,149,187612206.76986304
D,196.0,SWEDEN,1212871185.69863,185,215,1216436147.339726
D,197.0,SWITZERLAND,1150730372.6849318,192,233,1140744675.9452052
D,198.0,SYRIA,1276138077.5643833,146,305,1286410917.2328768
D,200.0,TAJIKISTAN,27781097.827397257,83,330,31368022.172602743
D,201.0,TANZANIA,2052412543.1726024,366,824,2097257781.3643837
D,202.0,THAILAND,1306300906.8821914,194,498,1309833435.1534247
D,204.0,TOGO,225378377.67397264,128,138,226394767.96164384
D,205.0,TONGA,23009993.684931505,69,105,21923703.75616439
D,206.0,TRINIDAD AND TOBAGO,1248973196.7041094,108,163,1251960851.6986303
D,207.0,TUNISIA,1002959098.1178085,111,363,999215414.8767124
D,208.0,TURKEY,1265466335.8301368,189,459,1273955109.89863
D,209.0,TURKMENISTAN,330318310.841096,74,87,350108184.8547945
D,211.0,TUVALU,23009993.684931505,70,148,21923703.75616439
D,212.0,UGANDA,1858358310.5726023,468,779,1885107866.4438357
D,213.0,UKRAINE,1294120344.789041,200,520,1302171918.5315068
D,214.0,UNITED ARAB EMIRATES,1247278898.8109589,136,183,1249850477.6958907
D,216.0,UNITED STATES OF AMERICA,1401346472.8465753,516,605,1409782957.0547943
D,217.0,URUGUAY,1041510635.6849316,85,334,1036155759.4684931
D,218.0,UZBEKISTAN,1005419373.2739726,82,91,1000043519.6794521
D,219.0,VANUATU,265133486.83561644,74,106,278124005.12602735
D,221.0,VENEZUELA,1023273071.9150686,97,106,1018426409.0684931
D,222.0,VIETNAM,1159190423.6739726,134,159,1160923312.8273973
D,224.0,YEMEN,1257492453.7232873,106,129,1266043602.1342466
D,225.0,SERBIA,1071160563.9479452,137,385,1072767921.9671233
D,226.0,DEMOCRATIC REPUBLIC OF THE CONGO,1289512808.4136982,193,454,1299899430.6465755
D,227.0,ZAMBIA,1624704759.380822,292,770,1639327411.2602744
D,228.0,ZIMBABWE,1941462961.2356162,298,546,1978657999.4849317
D,233.0,MONTENEGRO,988373185.3835617,98,101,981702734.4054794
D,234.0,SCOTLAND,4182207285.879452,1033,1989,4198652679.9315076
D,235.0,NORTHERN IRELAND,3867096074.676713,727,1492,3865882319.8000007
D,236.0,ANTARCTICA,555349.8493150685,67,70,1050196.9068493152
D,237.0,TIMOR-LESTE,259543843.0,75,80,275396498.2767123
D,238.0,OCCUPIED PALESTINIAN TERRITORIES,1288050193.5808215,132,539,1301380016.7068493
D,239.0,KOSOVO,995522761.6904111,99,109,990285978.0657535
D,240.0,AKROTIRI AND DHEKELIA,555349.8493150685,67,67,1050196.9068493152
D,241.0,AMERICAN SAMOA,10078650.93424658,63,63,9337736.939726027
D,242.0,ANGUILLA,6144993.684931506,66,93,3777703.7561643836
D,243.0,ARUBA,19550166.28767123,64,64,20722153.07123288
D,244.0,BERMUDA,189020047.14246574,72,112,196173267.46027398
D,245.0,BRITISH INDIAN OCEAN TERRITORY,59014747.10958904,64,93,59175511.97534247
D,246.0,BRITISH VIRGIN ISLANDS,153384442.70410958,68,96,159185485.30136988
D,247.0,CAYMAN ISALNDS,156117099.40547946,69,97,165805380.7753425
D,248.0,CHRISTMAS ISLAND,53425103.2739726,61,63,56448005.1260274
D,249.0,CLIPPERTON ISLAND,555349.8493150685,60,60,1050196.9068493152
D,250.0,COCOS (KEELING) ISLANDS,555349.8493150685,60,60,1050196.9068493152
D,251.0,COOK ISLANDS,555349.8493150685,62,62,1050196.9068493152
D,252.0,EASTER  ISLAND,555349.8493150685,60,60,1050196.9068493152
D,253.0,FALKLAND ISLANDS,77043481.61917809,74,104,72192259.67945206
D,254.0,FAROE ISLANDS,1755289.9561643838,71,71,2412795.802739726
D,255.0,FRENCH GUYANA,555349.8493150685,66,66,1050196.9068493152
D,256.0,FRENCH POLYNESIA,53425103.2739726,61,63,56448005.1260274
D,257.0,GIBRALTAR,264102657.78356162,89,121,269671409.54246575
D,258.0,GREENLAND,54304696.80821918,66,68,57461563.624657534
D,259.0,GUADELOUPE,555349.8493150685,64,64,1050196.9068493152
D,260.0,GUAM,555349.8493150685,60,60,1050196.9068493152
D,261.0,GUERNSEY,881634255.2630137,108,274,925004265.6520549
D,262.0,HONG KONG,1273355966.9643834,117,165,1284713244.8767128
D,263.0,ISLE OF MAN,698362753.969863,126,284,718705482.1890411
D,264.0,JAN MAYEN,1434943.383561644,65,65,2063755.405479452
D,265.0,JERSEY,919423195.6712329,114,280,961942627.6027398
D,266.0,JUAN FERNANDEZ ISLANDS,555349.8493150685,59,59,1050196.9068493152
D,267.0,MACAU,166789615.30684933,67,68,176129934.61643836
D,268.0,MARTINIQUE,555349.8493150685,64,64,1050196.9068493152
D,269.0,MAYOTTE,555349.8493150685,66,66,1050196.9068493152
D,270.0,MONTSERRAT,61747403.81095891,67,96,65795407.44931507
D,271.0,NETHERLANDS ANTILLES,22356788.20547945,65,129,22953873.619178087
D,272.0,NEW CALEDONIA,555349.8493150685,60,60,1050196.9068493152
D,273.0,NIUE,555349.8493150685,60,60,1050196.9068493152
D,274.0,NORFOLK ISLAND,555349.8493150685,60,60,1050196.9068493152
D,275.0,NORTHERN MARIANA ISLAND,555349.8493150685,59,59,1050196.9068493152
D,276.0,PITCAIRN ISLANDS,59014747.10958904,61,90,59175511.97534247
D,277.0,PUERTO RICO,17420349.849315066,62,68,19196196.90684932
D,278.0,REUNION,5491788.205479451,70,128,4807873.619178082
D,279.0,ROSS DEPENDENCY,555349.8493150685,60,60,1050196.9068493152
D,280.0,ST BARTHELEMY,555349.8493150685,60,60,1050196.9068493152
D,281.0,ST HELENA,6144993.684931506,71,98,3777703.7561643836
D,282.0,ST MARTIN,555349.8493150685,61,61,1050196.9068493152
D,283.0,ST PIERRE AND MIQUELON,555349.8493150685,61,61,1050196.9068493152
D,284.0,SOUTH GEORGIA,6144993.684931506,64,91,3777703.7561643836
D,285.0,SVALBARD,1434943.383561644,69,69,2063755.405479452
D,286.0,TAIWAN,1232955545.7561643,86,336,1239613254.5972605
D,287.0,TOKELAU,555349.8493150685,59,59,1050196.9068493152
D,288.0,TURKS AND CAICOS ISLANDS,62772719.42739726,69,102,69961015.12054795
D,289.0,U.S. VIRGIN ISLANDS,555349.8493150685,61,61,1050196.9068493152
D,290.0,WALLIS AND FUTUNA,555349.8493150685,59,59,1050196.9068493152
D,293.0,REPUBLIC OF SOUTH SUDAN,1265259035.6849313,81,327,1262806271.7972603
