aootype,word,aookey,aooname,subsidiary_count,charity_count,income,expend
B,charitys,2.0,WEST BERKSHIRE,4,4,,
B,educate,2.0,WEST BERKSHIRE,6,6,,
B,education,2.0,WEST BERKSHIRE,193,158,24223751.78630137,22273042.246575344
B,enable,2.0,WEST BERKSHIRE,32,32,852657.5342465753,1225632.8767123288
B,enhance,2.0,WEST BERKSHIRE,13,13,,
B,general,2.0,WEST BERKSHIRE,24,18,14742457.701369863,12939808.906849315
B,help,2.0,WEST BERKSHIRE,17,17,54529.19452054794,42794.43287671233
B,improve,2.0,WEST BERKSHIRE,26,26,,
B,income,2.0,WEST BERKSHIRE,10,9,,
B,instruction,2.0,WEST BERKSHIRE,3,3,,
B,main,2.0,WEST BERKSHIRE,18,18,,
B,maintenance,2.0,WEST BERKSHIRE,25,18,5845312.539726027,4660041.4547945205
B,object,2.0,WEST BERKSHIRE,32,30,,
B,objects,2.0,WEST BERKSHIRE,54,43,40452.0,30552.0
B,payment,2.0,WEST BERKSHIRE,6,6,,
B,poor,2.0,WEST BERKSHIRE,64,30,262497.85205479455,241908.41643835616
B,preservation,2.0,WEST BERKSHIRE,10,10,,
B,preserve,2.0,WEST BERKSHIRE,9,9,,
B,prevention,2.0,WEST BERKSHIRE,8,7,1148000.0,848000.0
B,promote,2.0,WEST BERKSHIRE,73,65,4466837.0,3689175.0
B,promoting,2.0,WEST BERKSHIRE,23,21,1148000.0,848000.0
B,promotion,2.0,WEST BERKSHIRE,20,17,,
B,provide,2.0,WEST BERKSHIRE,71,63,,
B,providing,2.0,WEST BERKSHIRE,59,49,907186.7287671233,1268427.3095890412
B,provision,2.0,WEST BERKSHIRE,119,88,10398449.701369863,9440427.906849315
B,public,2.0,WEST BERKSHIRE,128,94,40452.0,30552.0
B,purchase,2.0,WEST BERKSHIRE,5,5,,
B,purpose,2.0,WEST BERKSHIRE,49,20,5614837.0,4537175.0
B,purposes,2.0,WEST BERKSHIRE,109,69,15125955.553424658,13387717.323287671
B,recreation,2.0,WEST BERKSHIRE,31,26,,
B,relief,2.0,WEST BERKSHIRE,81,68,1410497.8520547946,1089908.416438356
B,relieve,2.0,WEST BERKSHIRE,39,37,1243.0,3027.0
B,relieving,2.0,WEST BERKSHIRE,4,4,144381.3479452055,113528.1095890411
B,see,2.0,WEST BERKSHIRE,18,18,1027000.0,642000.0
B,support,2.0,WEST BERKSHIRE,50,40,122829.0,189794.0
B,towards,2.0,WEST BERKSHIRE,8,8,,
B,trustees,2.0,WEST BERKSHIRE,52,41,4466837.0,3689175.0
B,unit,2.0,WEST BERKSHIRE,6,5,1027000.0,642000.0
B,work,2.0,WEST BERKSHIRE,18,17,262497.85205479455,241908.41643835616
B,advance,3.0,READING,140,114,,
B,advancement,3.0,READING,60,51,1148000.0,848000.0
B,apply,3.0,READING,7,7,,
B,assist,3.0,READING,25,22,7417.0,4848.0
B,benefit,3.0,READING,107,85,1048271.0,658452.0
B,charitable,3.0,READING,140,93,1410497.8520547946,1089908.416438356
B,educate,3.0,READING,11,11,,
B,education,3.0,READING,240,170,13719826.016438358,12334154.630136987
B,enable,3.0,READING,27,24,,
B,enhance,3.0,READING,15,14,,
B,establish,3.0,READING,4,4,,
B,general,3.0,READING,26,22,1027000.0,642000.0
B,help,3.0,READING,15,15,,
B,improve,3.0,READING,17,17,,
B,income,3.0,READING,15,12,,
B,main,3.0,READING,8,8,,
B,maintenance,3.0,READING,17,15,1298207.8520547946,892148.4164383562
B,object,3.0,READING,24,24,7417.0,4848.0
B,objects,3.0,READING,40,36,,
B,pay,3.0,READING,3,3,,
B,poor,3.0,READING,48,16,262497.85205479455,241908.41643835616
B,preservation,3.0,READING,9,9,,
B,preserve,3.0,READING,10,10,,
B,prevention,3.0,READING,12,10,1148000.0,848000.0
B,promote,3.0,READING,76,64,20028.0,13425.0
B,promoting,3.0,READING,35,29,1148000.0,848000.0
B,promotion,3.0,READING,18,15,,
B,provide,3.0,READING,68,62,15718722.117808219,14772685.808219178
B,providing,3.0,READING,62,52,,
B,provision,3.0,READING,131,88,13466574.164383562,12080888.213698631
B,public,3.0,READING,134,90,20028.0,13425.0
B,purpose,3.0,READING,52,23,1168028.0,861425.0
B,purposes,3.0,READING,110,67,1419207.8520547946,1098148.416438356
B,recreation,3.0,READING,23,22,7417.0,4848.0
B,relief,3.0,READING,85,71,1410497.8520547946,1089908.416438356
B,relieve,3.0,READING,46,44,1243.0,3027.0
B,relieving,3.0,READING,6,6,20028.0,13425.0
B,see,3.0,READING,19,17,1027000.0,642000.0
B,support,3.0,READING,63,50,122829.0,189794.0
B,towards,3.0,READING,13,12,,
B,trustees,3.0,READING,61,47,,
B,unit,3.0,READING,8,7,1027000.0,642000.0
B,work,3.0,READING,27,23,262497.85205479455,241908.41643835616
B,advance,4.0,SLOUGH,84,70,,
B,advancement,4.0,SLOUGH,51,42,1148000.0,848000.0
B,apply,4.0,SLOUGH,4,4,,
B,assist,4.0,SLOUGH,15,15,,
B,benefit,4.0,SLOUGH,74,59,1145875.0,784420.0
B,charitable,4.0,SLOUGH,107,67,1410497.8520547946,1089908.416438356
B,educate,4.0,SLOUGH,9,9,,
B,education,4.0,SLOUGH,151,113,1410497.8520547946,1089908.416438356
B,enable,4.0,SLOUGH,17,17,,
B,enhance,4.0,SLOUGH,11,11,,
B,general,4.0,SLOUGH,18,15,1144632.0,781393.0
B,help,4.0,SLOUGH,13,13,,
B,improve,4.0,SLOUGH,10,10,,
B,income,4.0,SLOUGH,5,5,,
B,instruction,4.0,SLOUGH,5,5,,
B,main,4.0,SLOUGH,5,5,,
B,maintenance,4.0,SLOUGH,16,16,1415839.8520547946,1031541.4164383562
B,object,4.0,SLOUGH,16,16,,
B,objects,4.0,SLOUGH,23,21,,
B,poor,4.0,SLOUGH,28,14,410303.9561643836,390181.0219178082
B,preservation,4.0,SLOUGH,9,9,,
B,preserve,4.0,SLOUGH,7,7,,
B,prevention,4.0,SLOUGH,7,6,1148000.0,848000.0
B,promote,4.0,SLOUGH,55,48,,
B,promoting,4.0,SLOUGH,18,16,1148000.0,848000.0
B,promotion,4.0,SLOUGH,16,12,,
B,provide,4.0,SLOUGH,58,54,,
B,providing,4.0,SLOUGH,39,31,,
B,provision,4.0,SLOUGH,82,67,1297635.104109589,980066.6054794521
B,public,4.0,SLOUGH,92,61,,
B,purpose,4.0,SLOUGH,45,16,1148000.0,848000.0
B,purposes,4.0,SLOUGH,81,46,1419207.8520547946,1098148.416438356
B,recreation,4.0,SLOUGH,17,14,,
B,relief,4.0,SLOUGH,73,58,1410497.8520547946,1089908.416438356
B,relieve,4.0,SLOUGH,44,41,1243.0,3027.0
B,relieving,4.0,SLOUGH,4,3,,
B,see,4.0,SLOUGH,15,15,1027000.0,642000.0
B,support,4.0,SLOUGH,41,31,122829.0,189794.0
B,towards,4.0,SLOUGH,11,11,135388.05479452055,115993.33698630136
B,trustees,4.0,SLOUGH,32,26,,
B,work,4.0,SLOUGH,14,13,262497.85205479455,241908.41643835616
B,advance,5.0,WINDSOR AND MAIDENHEAD,87,76,,
B,advancement,5.0,WINDSOR AND MAIDENHEAD,56,45,1148000.0,848000.0
B,apply,5.0,WINDSOR AND MAIDENHEAD,6,6,,
B,assist,5.0,WINDSOR AND MAIDENHEAD,19,17,,
B,benefit,5.0,WINDSOR AND MAIDENHEAD,107,68,1384535.306849315,1047839.8109589042
B,charitable,5.0,WINDSOR AND MAIDENHEAD,117,76,1410497.8520547946,1089908.416438356
B,charitys,5.0,WINDSOR AND MAIDENHEAD,3,3,,
B,educate,5.0,WINDSOR AND MAIDENHEAD,9,9,,
B,education,5.0,WINDSOR AND MAIDENHEAD,167,124,1410497.8520547946,1089908.416438356
B,enable,5.0,WINDSOR AND MAIDENHEAD,25,21,,
B,enhance,5.0,WINDSOR AND MAIDENHEAD,10,10,,
B,general,5.0,WINDSOR AND MAIDENHEAD,32,20,1068597.7205479452,688086.3890410959
B,help,5.0,WINDSOR AND MAIDENHEAD,8,8,,
B,improve,5.0,WINDSOR AND MAIDENHEAD,16,16,,
B,income,5.0,WINDSOR AND MAIDENHEAD,13,11,119804.0,122100.0
B,instruction,5.0,WINDSOR AND MAIDENHEAD,4,4,,
B,main,5.0,WINDSOR AND MAIDENHEAD,10,10,,
B,maintenance,5.0,WINDSOR AND MAIDENHEAD,30,21,1490144.5534246576,1124818.2136986302
B,object,5.0,WINDSOR AND MAIDENHEAD,16,16,,
B,objects,5.0,WINDSOR AND MAIDENHEAD,33,27,,
B,payment,5.0,WINDSOR AND MAIDENHEAD,5,3,,
B,poor,5.0,WINDSOR AND MAIDENHEAD,52,22,426853.4575342466,412051.4301369863
B,preservation,5.0,WINDSOR AND MAIDENHEAD,10,10,,
B,preserve,5.0,WINDSOR AND MAIDENHEAD,8,8,,
B,prevention,5.0,WINDSOR AND MAIDENHEAD,10,9,1148000.0,848000.0
B,promote,5.0,WINDSOR AND MAIDENHEAD,59,52,,
B,promoting,5.0,WINDSOR AND MAIDENHEAD,19,16,1148000.0,848000.0
B,promotion,5.0,WINDSOR AND MAIDENHEAD,18,15,,
B,provide,5.0,WINDSOR AND MAIDENHEAD,59,53,,
B,providing,5.0,WINDSOR AND MAIDENHEAD,47,36,,
B,provision,5.0,WINDSOR AND MAIDENHEAD,80,66,1152782.8849315068,833750.6246575343
B,public,5.0,WINDSOR AND MAIDENHEAD,88,63,,
B,purchase,5.0,WINDSOR AND MAIDENHEAD,3,3,,
B,purpose,5.0,WINDSOR AND MAIDENHEAD,50,21,1148000.0,848000.0
B,purposes,5.0,WINDSOR AND MAIDENHEAD,98,59,1539011.8520547946,1220248.416438356
B,recreation,5.0,WINDSOR AND MAIDENHEAD,15,12,,
B,relief,5.0,WINDSOR AND MAIDENHEAD,78,62,1530301.8520547946,1212008.416438356
B,relieve,5.0,WINDSOR AND MAIDENHEAD,42,39,4196.884931506849,4983.624657534247
B,relieving,5.0,WINDSOR AND MAIDENHEAD,3,3,,
B,see,5.0,WINDSOR AND MAIDENHEAD,16,16,1027000.0,642000.0
B,support,5.0,WINDSOR AND MAIDENHEAD,50,37,141273.01917808218,213395.23287671234
B,towards,5.0,WINDSOR AND MAIDENHEAD,15,13,,
B,trustees,5.0,WINDSOR AND MAIDENHEAD,39,31,,
B,unit,5.0,WINDSOR AND MAIDENHEAD,4,3,1027000.0,642000.0
B,work,5.0,WINDSOR AND MAIDENHEAD,24,22,262497.85205479455,241908.41643835616
B,advance,6.0,WOKINGHAM,104,83,,
B,advancement,6.0,WOKINGHAM,49,41,1148000.0,848000.0
B,apply,6.0,WOKINGHAM,7,6,,
B,assist,6.0,WOKINGHAM,21,18,,
B,benefit,6.0,WOKINGHAM,123,66,5105770.430136986,4177966.789041096
B,charitable,6.0,WOKINGHAM,120,74,5488025.282191781,4622848.205479452
B,educate,6.0,WOKINGHAM,11,11,,
B,education,6.0,WOKINGHAM,191,139,5326981.282191781,4472637.205479452
B,enable,6.0,WOKINGHAM,24,22,,
B,enhance,6.0,WOKINGHAM,15,15,,
B,establish,6.0,WOKINGHAM,4,4,,
B,general,6.0,WOKINGHAM,16,13,1027000.0,642000.0
B,help,6.0,WOKINGHAM,17,17,,
B,improve,6.0,WOKINGHAM,16,16,,
B,income,6.0,WOKINGHAM,16,11,,
B,instruction,6.0,WOKINGHAM,3,3,,
B,main,6.0,WOKINGHAM,11,11,,
B,maintenance,6.0,WOKINGHAM,21,18,1298207.8520547946,892148.4164383562
B,object,6.0,WOKINGHAM,20,19,,
B,objects,6.0,WOKINGHAM,29,25,,
B,pay,6.0,WOKINGHAM,3,3,,
B,poor,6.0,WOKINGHAM,75,16,262497.85205479455,241908.41643835616
B,preservation,6.0,WOKINGHAM,9,9,,
B,preserve,6.0,WOKINGHAM,5,5,,
B,prevention,6.0,WOKINGHAM,9,8,1148000.0,848000.0
B,promote,6.0,WOKINGHAM,62,52,161044.0,150211.0
B,promoting,6.0,WOKINGHAM,25,19,1148000.0,848000.0
B,promotion,6.0,WOKINGHAM,16,13,,
B,provide,6.0,WOKINGHAM,62,58,102300.0,112764.0
B,providing,6.0,WOKINGHAM,48,41,,
B,provision,6.0,WOKINGHAM,87,68,1149829.0,831794.0
B,public,6.0,WOKINGHAM,94,66,,
B,purpose,6.0,WOKINGHAM,49,20,1148000.0,848000.0
B,purposes,6.0,WOKINGHAM,96,54,5335691.282191781,4480877.205479452
B,recreation,6.0,WOKINGHAM,19,16,,
B,relief,6.0,WOKINGHAM,79,63,1571541.8520547946,1240119.416438356
B,relieve,6.0,WOKINGHAM,34,33,1243.0,3027.0
B,relieving,6.0,WOKINGHAM,3,3,,
B,see,6.0,WOKINGHAM,16,15,1027000.0,642000.0
B,support,6.0,WOKINGHAM,64,51,122829.0,189794.0
B,towards,6.0,WOKINGHAM,10,8,,
B,trustees,6.0,WOKINGHAM,43,33,,
B,unit,6.0,WOKINGHAM,6,5,1027000.0,642000.0
B,work,6.0,WOKINGHAM,14,13,262497.85205479455,241908.41643835616
B,works,6.0,WOKINGHAM,3,3,,
B,advance,7.0,BARKING AND DAGENHAM,71,57,11767.671232876712,41878.94794520548
B,advancement,7.0,BARKING AND DAGENHAM,40,30,,
B,assist,7.0,BARKING AND DAGENHAM,18,17,,
B,benefit,7.0,BARKING AND DAGENHAM,94,62,11767.671232876712,41878.94794520548
B,charitable,7.0,BARKING AND DAGENHAM,54,40,337908.0,573702.0
B,charitys,7.0,BARKING AND DAGENHAM,6,6,,
B,educate,7.0,BARKING AND DAGENHAM,6,6,,
B,education,7.0,BARKING AND DAGENHAM,108,83,22758724.73972603,21140339.397260275
B,enable,7.0,BARKING AND DAGENHAM,10,8,,
B,enhance,7.0,BARKING AND DAGENHAM,3,3,,
B,establish,7.0,BARKING AND DAGENHAM,11,11,,
B,general,7.0,BARKING AND DAGENHAM,12,12,,
B,help,7.0,BARKING AND DAGENHAM,12,10,,
B,improve,7.0,BARKING AND DAGENHAM,9,9,,
B,income,7.0,BARKING AND DAGENHAM,13,8,,
B,maintenance,7.0,BARKING AND DAGENHAM,6,6,,
B,object,7.0,BARKING AND DAGENHAM,33,33,,
B,objects,7.0,BARKING AND DAGENHAM,40,28,,
B,poor,7.0,BARKING AND DAGENHAM,9,8,907364.0,968490.0
B,preservation,7.0,BARKING AND DAGENHAM,10,10,,
B,preserve,7.0,BARKING AND DAGENHAM,10,10,,
B,prevention,7.0,BARKING AND DAGENHAM,10,10,11767.671232876712,41878.94794520548
B,promote,7.0,BARKING AND DAGENHAM,56,39,,
B,promoting,7.0,BARKING AND DAGENHAM,6,5,,
B,promotion,7.0,BARKING AND DAGENHAM,18,15,,
B,provide,7.0,BARKING AND DAGENHAM,71,43,,
B,providing,7.0,BARKING AND DAGENHAM,28,22,11767.671232876712,41878.94794520548
B,provision,7.0,BARKING AND DAGENHAM,82,57,,
B,public,7.0,BARKING AND DAGENHAM,57,39,11767.671232876712,41878.94794520548
B,purpose,7.0,BARKING AND DAGENHAM,17,14,337908.0,573702.0
B,purposes,7.0,BARKING AND DAGENHAM,35,30,365163.0,731966.0
B,recreation,7.0,BARKING AND DAGENHAM,33,31,,
B,relief,7.0,BARKING AND DAGENHAM,51,43,11767.671232876712,41878.94794520548
B,relieve,7.0,BARKING AND DAGENHAM,45,41,11767.671232876712,41878.94794520548
B,relieving,7.0,BARKING AND DAGENHAM,16,6,533.5342465753424,1196.7123287671234
B,see,7.0,BARKING AND DAGENHAM,3,3,,
B,support,7.0,BARKING AND DAGENHAM,27,23,,
B,towards,7.0,BARKING AND DAGENHAM,3,3,,
B,trustees,7.0,BARKING AND DAGENHAM,51,29,,
B,work,7.0,BARKING AND DAGENHAM,6,6,,
B,advance,8.0,BARNET,134,99,3027160.046575343,2695586.882191781
B,advancement,8.0,BARNET,80,63,,
B,apply,8.0,BARNET,3,3,35854.498630136986,32075.879452054796
B,assist,8.0,BARNET,26,24,,
B,ato,8.0,BARNET,3,3,,
B,benefit,8.0,BARNET,90,66,1826214.0,1992212.0
B,charitable,8.0,BARNET,82,62,18306749.197260275,15983634.27671233
B,charitys,8.0,BARNET,5,5,6705.0,5948.0
B,educate,8.0,BARNET,16,16,,
B,education,8.0,BARNET,226,157,3056309.54520548,2721714.761643836
B,enable,8.0,BARNET,25,23,,
B,enhance,8.0,BARNET,11,11,,
B,establish,8.0,BARNET,3,3,,
B,general,8.0,BARNET,14,13,,
B,help,8.0,BARNET,22,18,,
B,improve,8.0,BARNET,13,13,,
B,income,8.0,BARNET,10,8,,
B,maintenance,8.0,BARNET,9,9,,
